record_id;redcap_repeat_instrument;redcap_repeat_instance;form_1_complete;exp_time;current;past;type;location;loc_spec;descr;feedback;identity___1;identity___2;identity___3;identity___4;identity___5;identity_spec;social_type___1;social_type___2;social_type___3;social_type___4;removal;future_use;uuid_2;startdate_2;enddate_2;scheduledate_2;status_2;supplementaldata_2;serializedresult_2;experience_log_complete
008;experience_log;2;;2;;"2024-07-14 22:23";1;3;;"friends were intrigued to see what I am wearing ";1;1;0;1;0;0;;1;1;0;0;0;"they were curious so no.impact";9E2C3C50-422F-11EF-80EE-ABFE76E4716A;"2024-07-15 00:22:55";"2024-07-15 00:24:09";;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceuuid"": ""UP1A.231005.007"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-07-15 00:24:09"",    ""utcTime"": ""2024-07-14 22:22:55.637445Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""SM-S908B""  }";result.zip;0
008;experience_log;1;;2;;"2024-07-09 12:30";2;3;;"People were just staring for an extended duration ";0;0;0;0;0;0;;0;0;0;0;0;"no impact ";BAAD1D80-3DE4-11EF-AE30-CFFF22FF2CB3;"2024-07-09 13:16:46";"2024-07-09 13:17:45";;1;"{    ""devicemanufacturer"": ""samsung"",    ""deviceuuid"": ""UP1A.231005.007"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""percentComplete"": ""62"",    ""syncdate"": ""2024-07-09 13:17:46"",    ""utcTime"": ""2024-07-09 11:16:46.552141Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""SM-S908B""  }";result.zip;0
008;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
