record_id;redcap_repeat_instrument;redcap_repeat_instance;redcap_survey_identifier;form_1_timestamp;form_1_complete;wear_log_timestamp;wearlog_type;wearlog_event;wearlog_off;reason;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;uuid;startdate;enddate;scheduledate;status;supplementaldata;serializedresult;wear_log_complete
001;wear_log;15;;;;;0;1;;;"2024-05-17 09:29";;;;;;;;;;;;;;;;;7D00FA85-A6DC-4E8A-9A6F-ACC5D89BD4D8;"2024-05-17 09:28:59";"2024-05-17 09:29:16";;1;"{    ""configversion"" : ""6"",    ""syncdate"" : ""2024-05-17 09:29:16"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceversion"" : ""16.7""  }";result.zip;0
001;wear_log;16;;;;;0;0;"2024-05-17 13:25";0;;;;0;"On a shelf in the room";0;;;;;;;;;;;;A9317B31-56D8-4E14-AFCC-77B892046EA9;"2024-05-17 13:25:57";"2024-05-17 13:26:30";;1;"{    ""percentComplete"" : ""100"",    ""deviceversion"" : ""16.7"",    ""deviceplatform"" : ""iOS"",    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""6"",    ""syncdate"" : ""2024-05-17 13:26:30""  }";result.zip;0
001;wear_log;17;;;;;0;1;;;"2024-05-17 13:36";;;;;;;;;;;;;;;;;50A91427-12E2-4DE8-89B9-FAADB6DD3E71;"2024-05-17 13:36:55";"2024-05-17 13:37:00";;1;"{    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2024-05-17 13:37:00"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""6"",    ""devicemodel"" : ""iPhone"",    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""16.7"",    ""deviceplatform"" : ""iOS""  }";result.zip;0
001;wear_log;18;;;;;0;0;"2024-05-17 14:36";2;;;;0;"Bag Pocket ";1;;;;;;;;;;;;6563E62C-69DC-476D-AD4E-E524492BA3E3;"2024-05-17 14:36:52";"2024-05-17 14:37:18";;1;"{    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""16.7"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""6"",    ""syncdate"" : ""2024-05-17 14:37:18"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemanufacturer"" : ""Apple""  }";result.zip;0
001;wear_log;19;;;;;0;1;;;"2024-05-17 15:01";;;;;;;;;;;;;;;;;26880948-6814-4231-AF27-2D77E249B156;"2024-05-17 15:01:42";"2024-05-17 15:01:48";;1;"{    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2024-05-17 15:01:48"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceversion"" : ""16.7"",    ""configversion"" : ""6""  }";result.zip;0
001;wear_log;20;;;;;0;0;"2024-05-17 16:49";0;;;;0;"Bag pack";0;;;;;;;;;;;;99C87478-4DE2-448B-8DAB-7F1D729D63F9;"2024-05-17 16:49:39";"2024-05-17 16:50:02";;1;"{    ""deviceversion"" : ""16.7"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""6"",    ""syncdate"" : ""2024-05-17 16:50:02"",    ""devicemodel"" : ""iPhone"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""percentComplete"" : ""100""  }";result.zip;0
001;wear_log;21;;;;;0;1;;;"2024-05-17 17:57";;;;;;;;;;;;;;;;;82BF0AE0-624A-49BA-848C-5D336302DCA7;"2024-05-17 17:57:10";"2024-05-17 17:57:15";;1;"{    ""configversion"" : ""6"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""16.7"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""syncdate"" : ""2024-05-17 17:57:15""  }";result.zip;0
001;wear_log;22;;;;;0;0;"2024-05-17 18:21";0;;;;0;"Gym locker ";0;;;;;;;;;;;;FE194168-D13C-45DD-9D23-F0BA22E30B1E;"2024-05-17 18:19:48";"2024-05-17 18:20:25";;1;"{    ""syncdate"" : ""2024-05-17 18:20:25"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""16.7"",    ""deviceplatform"" : ""iOS"",    ""configversion"" : ""6""  }";result.zip;0
001;wear_log;23;;;;;0;1;;;"2024-05-17 19:20";;;;;;;;;;;;;;;;;6A763FFB-B5E5-4761-9336-881E9B66DFC0;"2024-05-17 19:26:22";"2024-05-17 19:26:36";;1;"{    ""syncdate"" : ""2024-05-17 19:26:36"",    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""16.7"",    ""configversion"" : ""6""  }";result.zip;0
001;wear_log;24;;;;;0;2;;;;"2024-05-18 00:35";;;;;;;;;;;;;;;;1F90B8F5-1B82-4CC3-9316-3B730E5BA950;"2024-05-18 00:35:27";"2024-05-18 00:35:36";;1;"{    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""6"",    ""deviceversion"" : ""16.7"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""syncdate"" : ""2024-05-18 00:35:36""  }";result.zip;0
001;wear_log;25;;;;;0;1;;;"2024-05-18 09:43";;;;;;;;;;;;;;;;;0C9CEE54-9C21-470D-849A-885ABB5C62C0;"2024-05-18 09:43:18";"2024-05-18 09:43:25";;1;"{    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""16.7"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2024-05-18 09:43:26"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""6""  }";result.zip;0
001;wear_log;26;;;;;0;0;"2024-05-18 17:33";1;;;;0;Backpack;1;;;;;;;;;;;;83B1DB08-2D24-475E-9B75-B2CCCD80F854;"2024-05-18 17:33:10";"2024-05-18 17:33:39";;1;"{    ""deviceversion"" : ""16.7"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2024-05-18 17:33:39"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""6"",    ""deviceplatform"" : ""iOS""  }";result.zip;0
001;wear_log;27;;;;;0;1;;;"2024-05-18 18:07";;;;;;;;;;;;;;;;;5B0BEA3F-2F45-46AD-95D9-554E542FC387;"2024-05-18 18:07:29";"2024-05-18 18:07:33";;1;"{    ""appversion"" : ""2.21.0"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""syncdate"" : ""2024-05-18 18:07:33"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceversion"" : ""16.7"",    ""configversion"" : ""6"",    ""devicemodel"" : ""iPhone""  }";result.zip;0
001;wear_log;28;;;;;0;0;"2024-05-19 01:23";3;;;;0;Locker;1;;;;;;;;;;;;B29FECB4-53BF-4A01-81DD-543FFC6FD042;"2024-05-19 01:23:21";"2024-05-19 01:23:50";;1;"{    ""percentComplete"" : ""100"",    ""deviceversion"" : ""16.7"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2024-05-19 01:23:50"",    ""configversion"" : ""6"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01""  }";result.zip;0
001;wear_log;29;;;;;0;1;;;"2024-05-19 01:40";;;;;;;;;;;;;;;;;DD8D0794-5C89-45E0-BB10-4D7EDA8E537D;"2024-05-19 01:40:24";"2024-05-19 01:40:29";;1;"{    ""configversion"" : ""6"",    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2024-05-19 01:40:29"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""16.7"",    ""deviceplatform"" : ""iOS""  }";result.zip;0
001;wear_log;30;;;;;0;2;;;;"2024-05-19 05:20";;;;;;;;;;;;;;;;A7E86EF9-98C5-4C4B-95F1-46D223D1BBDC;"2024-05-19 05:27:22";"2024-05-19 05:27:32";;1;"{    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""16.7"",    ""syncdate"" : ""2024-05-19 05:27:32"",    ""configversion"" : ""6"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone""  }";result.zip;0
001;wear_log;31;;;;;0;1;;;"2024-05-19 11:40";;;;;;;;;;;;;;;;;4F889EAB-C17E-41BF-9D6E-C51C7488AEBE;"2024-05-19 11:40:13";"2024-05-19 11:40:18";;1;"{    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""deviceplatform"" : ""iOS"",    ""syncdate"" : ""2024-05-19 11:40:18"",    ""configversion"" : ""6"",    ""deviceversion"" : ""16.7"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0""  }";result.zip;0
001;wear_log;32;;;;;0;0;"2024-05-19 19:35";0;;;;0;"Book shelf";0;;;;;;;;;;;;EFF6B1C6-792C-4556-B233-A9EE6CB26B2E;"2024-05-19 19:35:15";"2024-05-19 19:35:31";;1;"{    ""deviceplatform"" : ""iOS"",    ""syncdate"" : ""2024-05-19 19:35:31"",    ""deviceversion"" : ""16.7"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""configversion"" : ""6"",    ""percentComplete"" : ""100""  }";result.zip;0
001;wear_log;33;;;;;0;1;;;"2024-05-19 19:54";;;;;;;;;;;;;;;;;EA69F1C4-2A14-4499-ACBE-7390A6AE1141;"2024-05-19 19:54:06";"2024-05-19 19:54:11";;1;"{    ""deviceplatform"" : ""iOS"",    ""syncdate"" : ""2024-05-19 19:54:11"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""16.7"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""configversion"" : ""6"",    ""devicemanufacturer"" : ""Apple""  }";result.zip;0
001;wear_log;34;;;;;0;2;;;;"2024-05-20 01:06";;;;;;;;;;;;;;;;8D7A0ADC-D2B9-4646-8C05-8C748E5B78EC;"2024-05-20 01:06:40";"2024-05-20 01:06:45";;1;"{    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""deviceplatform"" : ""iOS"",    ""configversion"" : ""6"",    ""deviceversion"" : ""16.7"",    ""syncdate"" : ""2024-05-20 01:06:45""  }";result.zip;0
001;wear_log;35;;;;;0;1;;;"2024-05-20 10:03";;;;;;;;;;;;;;;;;F5061856-E2C8-4D48-B92A-9579334A0752;"2024-05-20 10:03:40";"2024-05-20 10:03:47";;1;"{    ""percentComplete"" : ""100"",    ""syncdate"" : ""2024-05-20 10:03:47"",    ""configversion"" : ""6"",    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceversion"" : ""16.7""  }";result.zip;0
001;wear_log;36;;;;;0;6;;;;;;;;;;;;;;;;;;;;87FAF28D-C414-4255-B6CE-92D8FB8A2C08;"2024-05-20 11:17:05";"2024-05-20 11:17:13";;1;"{    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""6"",    ""syncdate"" : ""2024-05-20 11:17:13"",    ""deviceversion"" : ""16.7"",    ""deviceplatform"" : ""iOS""  }";result.zip;0
