record_id;redcap_repeat_instrument;redcap_repeat_instance;redcap_survey_identifier;form_1_timestamp;form_1_complete;experience_log_timestamp;exp_time;current;past;type;location;loc_spec;descr;feedback;identity___1;identity___2;identity___3;identity___4;identity___5;identity_spec;social_type___1;social_type___2;social_type___3;social_type___4;removal;future_use;uuid_2;startdate_2;enddate_2;scheduledate_2;status_2;supplementaldata_2;serializedresult_2;experience_log_complete
003;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
003;experience_log;1;;;;;2;;"2024-06-07 11:25";1;3;;"A man on the bus asked what kind of glasses these were and if I was filming him. He was very friendly and genuinely interested in listening.";1;0;0;0;1;0;;1;1;0;0;0;"It won't influence it.";51A94850-24D4-11EF-B19C-A7B4501EE222;"2024-06-07 15:46:19";"2024-06-07 15:49:50";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""F1578ED6-C456-4E8B-81F1-B09E5A3A89D5"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.3.1"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-07 15:49:50"",    ""utcTime"": ""2024-06-07 13:46:19.349275Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""iPhone14,5""  }";result.zip;0
003;experience_log;2;;;;;2;;"2024-06-05 14:00";3;3;;"People looked at me disapprovingly, a little judgmental. ";1;0;0;0;1;0;;0;0;1;0;0;"I felt myself very uncomfortable, as if I was invading someone else's personal space, because people probably thought I was filming them. I am not sure that it will influence my future use, as I can't avoid reactions like this.";D03AB5F0-24D4-11EF-B19C-A7B4501EE222;"2024-06-07 15:49:51";"2024-06-07 15:55:50";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""F1578ED6-C456-4E8B-81F1-B09E5A3A89D5"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.3.1"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-07 15:55:50"",    ""utcTime"": ""2024-06-07 13:49:51.695515Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""iPhone14,5""  }";result.zip;0
003;experience_log;3;;;;;2;;"2024-06-07 15:40";1;1;;"My neighbour asked me to tell him more about the research, wondering what kind of glasses they were.";1;1;0;0;0;0;;1;1;0;0;0;"It was a positive experience, so it won't influence the future use of the light glasses.";AAE45760-24D5-11EF-B19C-A7B4501EE222;"2024-06-07 15:55:58";"2024-06-07 15:59:42";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""F1578ED6-C456-4E8B-81F1-B09E5A3A89D5"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.3.1"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-07 15:59:42"",    ""utcTime"": ""2024-06-07 13:55:58.550765Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""iPhone14,5""  }";result.zip;0
