record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;uuid;startdate;enddate;scheduledate;status;supplementaldata;serializedresult;light_exposure_diary_complete;form_1_complete
006;;;;;;;;;;;;;2
006;light_exposure_diary;1;1;5;B3CB7580-3276-11EF-BE90-07E0B9F976E8;"2024-06-25 00:11:27";"2024-06-25 00:11:45";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-25 00:11:45"",    ""utcTime"": ""2024-06-24 22:11:27.576521Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;2;1;4;0F12D9D0-333D-11EF-8EBC-81A6752CA99C;"2024-06-25 23:51:21";"2024-06-25 23:51:44";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-25 23:51:44"",    ""utcTime"": ""2024-06-25 21:51:21.069369Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;3;1;4;EC1C7950-3403-11EF-B4A2-57A6750E8225;"2024-06-26 23:34:52";"2024-06-26 23:35:04";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-26 23:35:04"",    ""utcTime"": ""2024-06-26 21:34:52.261765Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;4;1;5;F578C6B0-34DB-11EF-AA43-250064E9C620;"2024-06-28 01:21:19";"2024-06-28 01:21:28";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-28 01:21:29"",    ""utcTime"": ""2024-06-27 23:21:19.259219Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;5;1;4;BFD3BCF0-35A7-11EF-95AB-E757CB880CEC;"2024-06-29 01:40:06";"2024-06-29 01:40:13";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-29 01:40:14"",    ""utcTime"": ""2024-06-28 23:40:06.591692Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;6;1;4;64A76B80-3672-11EF-BA50-3D783F1C341D;"2024-06-30 01:50:41";"2024-06-30 01:50:47";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-30 01:50:48"",    ""utcTime"": ""2024-06-29 23:50:41.463880Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
006;light_exposure_diary;7;1;4;F59A9F00-372A-11EF-90CE-838EF660B07C;"2024-06-30 23:51:52";"2024-06-30 23:51:59";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""100"",    ""syncdate"": ""2024-06-30 23:51:59"",    ""utcTime"": ""2024-06-30 21:51:52.048429Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""19"",    ""devicemodel"": ""EML-L09""  }";result.zip;0;
