record_id;redcap_repeat_instrument;redcap_repeat_instance;form_1_complete;exp_time;current;past;type;location;loc_spec;descr;feedback;identity___1;identity___2;identity___3;identity___4;identity___5;identity_spec;social_type___1;social_type___2;social_type___3;social_type___4;removal;future_use;uuid_2;startdate_2;enddate_2;scheduledate_2;status_2;supplementaldata_2;serializedresult_2;experience_log_complete
006;experience_log;3;;2;;"2024-06-27 09:00";1;2;;"multiple colleagues asked about the glasses and the study ";1;0;1;0;0;0;;1;0;1;0;0;no;0B9CF560-34DC-11EF-8702-A996D5D7B03E;"2024-06-28 01:21:56";"2024-06-28 01:23:19";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-28 01:23:19"",    ""utcTime"": ""2024-06-27 23:21:56.406117Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""EML-L09""  }";result.zip;0
006;experience_log;2;;2;;"2024-06-24 20:20";1;3;;"multiple people looked and some asked e. g. at a traffic light, what the devices are and why I am wearing them";1;0;0;0;1;0;;1;1;0;0;0;no;EF701D30-32BB-11EF-BE44-291C99ECD401;"2024-06-25 08:27:02";"2024-06-25 08:28:48";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-25 08:28:48"",    ""utcTime"": ""2024-06-25 06:27:02.915495Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""EML-L09""  }";result.zip;0
006;experience_log;1;;2;;"2024-06-25 16:45";2;2;;"Fellow students asked about the device and were curious about the study ";1;0;1;0;0;0;;1;1;0;0;0;"will not influence ";A632B970-32BB-11EF-BE44-291C99ECD401;"2024-06-25 08:24:59";"2024-06-25 08:26:59";;1;"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceuuid"": ""HUAWEIEML-L09"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""percentComplete"": ""77"",    ""syncdate"": ""2024-06-25 08:27:00"",    ""utcTime"": ""2024-06-25 06:25:00.039597Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""3"",    ""devicemodel"": ""EML-L09""  }";result.zip;0
006;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
