record_id;redcap_repeat_instrument;redcap_repeat_instance;mhla_confirm;mhlea_confidence;uuid;startdate;enddate;scheduledate;status;supplementaldata;serializedresult;light_exposure_diary_complete;form_1_complete
001;;;;;;;;;;;;;2
001;light_exposure_diary;1;1;5;AA50F793-FD1E-4990-97DB-B1474580D5CE;"2024-05-13 23:19:16";"2024-05-13 23:19:29";"2024-05-13 12:00:00";1;"{    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""12"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""deviceversion"" : ""16.7"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2024-05-13 23:19:29"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemodel"" : ""iPhone""  }";result.zip;0;
001;light_exposure_diary;2;1;5;5C5D734F-69C6-41BC-82A9-62FC642C0502;"2024-05-15 00:20:26";"2024-05-15 00:20:32";"2024-05-15 12:00:00";1;"{    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""configversion"" : ""12"",    ""deviceversion"" : ""16.7"",    ""syncdate"" : ""2024-05-15 00:20:32"",    ""percentComplete"" : ""100"",    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS""  }";result.zip;0;
001;light_exposure_diary;3;1;4;A40698B3-BD91-4779-A476-C06E76AEEDA5;"2024-05-16 00:17:25";"2024-05-16 00:17:47";;1;"{    ""deviceplatform"" : ""iOS"",    ""deviceuuid"" : ""F79F0858-B3B8-496A-971E-2230F6484F01"",    ""deviceversion"" : ""16.7"",    ""syncdate"" : ""2024-05-16 00:17:47"",    ""appversion"" : ""2.21.0"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""configversion"" : ""13"",    ""devicemanufacturer"" : ""Apple""  }";result.zip;0;
