record_id;redcap_repeat_instrument;redcap_repeat_instance;form_1_complete;wearlog_type;wearlog_event;wearlog_off;reason;wearlog_on;wearlog_bed;radius;wearlog_bag;wearlog_place;wearlog_motion;wearlog_past;wearlog_bp;wearlog_past_off;wearlog_past_on;wearlog_past_sleep;radius_past_time;radius_past;radius_past_back;wearlog_past_bag;wearlog_past_location;wearlog_past_motion;uuid;startdate;enddate;scheduledate;status;supplementaldata;serializedresult;wear_log_complete
004;wear_log;30;;0;6;;;;;;;;;;;;;;;;;;;;7822E630-2C9F-11EF-A1B1-2B4F4CE4B371;"2024-06-17 13:48:09";"2024-06-17 13:48:24";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""10"",    ""syncdate"": ""2024-06-17 13:48:25"",    ""utcTime"": ""2024-06-17 11:48:09.875142Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;29;;0;1;;;"2024-06-17 12:59";;;;;;;;;;;;;;;;;B5C20FE0-2C98-11EF-A1B1-2B4F4CE4B371;"2024-06-17 12:59:46";"2024-06-17 12:59:57";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-17 12:59:58"",    ""utcTime"": ""2024-06-17 10:59:46.782149Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;28;;0;0;"2024-06-17 12:50";2;;;;1;;0;;;;;;;;;;;;588B4220-2C97-11EF-A1B1-2B4F4CE4B371;"2024-06-17 12:50:00";"2024-06-17 12:50:21";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""29"",    ""syncdate"": ""2024-06-17 12:50:22"",    ""utcTime"": ""2024-06-17 10:50:00.898356Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;27;;0;1;;;"2024-06-17 07:43";;;;;;;;;;;;;;;;;9F6F0D00-2C6C-11EF-9A35-891E4E8AD610;"2024-06-17 07:44:11";"2024-06-17 07:44:23";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-17 07:44:23"",    ""utcTime"": ""2024-06-17 05:44:11.472842Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;26;;0;2;;;;"2024-06-16 21:58";;;;;;;;;;;;;;;;C4E3CCD0-2C1A-11EF-9A35-891E4E8AD610;"2024-06-16 21:58:15";"2024-06-16 21:58:27";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-16 21:58:28"",    ""utcTime"": ""2024-06-16 19:58:15.581425Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;25;;0;1;;;"2024-06-16 20:59";;;;;;;;;;;;;;;;;8212AC30-2C12-11EF-9A35-891E4E8AD610;"2024-06-16 20:59:07";"2024-06-16 20:59:25";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-16 20:59:26"",    ""utcTime"": ""2024-06-16 18:59:07.507652Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;24;;0;0;"2024-06-16 20:42";2;;;;1;;0;;;;;;;;;;;;39874540-2C10-11EF-9A35-891E4E8AD610;"2024-06-16 20:42:46";"2024-06-16 20:43:30";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""29"",    ""syncdate"": ""2024-06-16 20:43:30"",    ""utcTime"": ""2024-06-16 18:42:46.804163Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;23;;0;1;;;"2024-06-16 08:03";;;;;;;;;;;;;;;;;BBD5E490-2BA5-11EF-8842-27679B0B6A14;"2024-06-16 08:00:29";"2024-06-16 08:03:28";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-16 08:03:28"",    ""utcTime"": ""2024-06-16 06:00:29.273538Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;22;;0;2;;;;"2024-06-15 22:32";;;;;;;;;;;;;;;;5B573B40-2B56-11EF-8842-27679B0B6A14;"2024-06-15 22:32:17";"2024-06-15 22:32:32";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-15 22:32:32"",    ""utcTime"": ""2024-06-15 20:32:17.140903Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
004;wear_log;21;;0;1;;;"2024-06-15 20:34";;;;;;;;;;;;;;;;;FDB8F6F0-2B45-11EF-9BA6-2B5EA2841846;"2024-06-15 20:35:08";"2024-06-15 20:35:22";;1;"{    ""devicemanufacturer"": ""Apple"",    ""deviceuuid"": ""57EFC956-1DDE-47B0-9F5C-F852CB15F86A"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.5.1"",    ""percentComplete"": ""15"",    ""syncdate"": ""2024-06-15 20:35:22"",    ""utcTime"": ""2024-06-15 18:35:08.127865Z"",    ""timezone"": ""CEST"",    ""appversion"": ""1.9.9"",    ""configversion"": ""6"",    ""devicemodel"": ""iPhone13,3""  }";result.zip;0
